"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72314013881","2020-05-10T07:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.30","28","53","0.00","","","","38","30.29","SCT:04 250","29.47","10.00","42","120","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10005/10/20 07:52:02 METAR KCLT 101252Z 12008KT 10SM SCT250 12/M02 A3030 RMK AO2 SLP257 T01171022 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T08:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.30","29","56","0.00","","","","36","30.29","SCT:04 250","29.47","10.00","44","130","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10005/10/20 08:52:02 METAR KCLT 101352Z 13007KT 10SM SCT250 13/M02 A3030 RMK AO2 SLP258 T01331017 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T09:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.29","30","59","0.00","","+0.00","8","33","30.28","FEW:02 250","29.46","10.00","46","150","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10605/10/20 09:52:02 METAR KCLT 101452Z 15008KT 10SM FEW250 15/M01 A3029 RMK AO2 SLP254 T01501011 58001 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T10:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","59","","","+0.00","8","33","30.28","","29.51","9.94","46","150","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN06472314 32966 21508 10150 21011 39993 40254 58001 91452 555 91015=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T10:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.27","33","62","0.00","","","","34","30.27","FEW:02 60 SCT:04 250","29.44","10.00","48","170","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10605/10/20 10:52:02 METAR KCLT 101552Z 17009KT 10SM FEW060 SCT250 17/01 A3027 RMK AO2 SLP249 T01670006 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T11:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.23","36","66","0.00","","","","33","30.23","FEW:02 60 FEW:02 250","29.40","10.00","51","190","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10605/10/20 11:52:02 METAR KCLT 101652Z 19010KT 10SM FEW060 FEW250 19/02 A3023 RMK AO2 SLP236 T01890022 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T12:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.20","41","68","0.00","","+0.08","8","38","30.19","SCT:04 60 SCT:04 250","29.37","10.00","54","190","18","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12705/10/20 12:52:02 METAR KCLT 101752Z 19011G16KT 10SM SCT060 SCT250 20/05 A3020 RMK AO2 SLP224 T02000050 10200 20100 58028 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T13:00:00","FM-12","4","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","68","","","+0.08","8","38","30.19","57","29.42","9.94","54","190","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08672314 32766 41911 10200 20050 39963 40224 58028 91752 333 10200 20100 91016 555 91018=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T13:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.17","41","68","0.00","","","","38","30.16","SCT:04 60 SCT:04 250","29.34","10.00","54","190","24","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10905/10/20 13:52:02 METAR KCLT 101852Z 19011G21KT 10SM SCT060 SCT250 20/05 A3017 RMK AO2 SLP214 T02000050 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
"72314013881","2020-05-10T14:52:00","FM-15","7","","SE","1.4","mi","TEMP, PRECIP, SNOW","","","PSY, SRG, SNOWBOARD","","","FAA CWO","","","","","","","","","","","","","","","","","","","","","","","","","","","30.14","41","68","0.00","","","","38","30.13","SCT:04 55","29.31","10.00","54","200","21","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10205/10/20 14:52:02 METAR KCLT 101952Z 20012G18KT 10SM SCT055 20/05 A3014 RMK AO2 SLP202 T02000050 (HWC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-06-02"
